MUNICIPI,LATITUD,LONGITUD
Sant Gregori,41.9905406349,2.7601738595
Sant Hipòlit de Voltregà,42.015316278,2.2365003611
Gelida,41.4407442,1.8627309
Puiggròs,41.5511211031,0.8894480472
Sant Vicenç de Montalt,41.578207141,2.5093834474
Pobla de Cérvoles,41.3680752654,0.9152072706
Campins,41.7245629357,2.463544772
Albatàrrec,41.5720412374,0.6050402395
Alins,42.5505574108,1.3197511245
Pinell de Solsonès,41.9707994,1.4001478
Sant Martí Sesgueioles,41.703182246,1.4901775302
Berga,42.1043270988,1.8460389054
Capellades,41.5314261321,1.6858136332
Castellterçol,41.7513942255,2.1205466011
Sant Feliu de Guíxols,41.78034,3.02872
Gratallops,41.194914856,0.7780390866
Alcanó,41.48046,0.61732
Torelló,42.0471495766,2.2605921464
Vilaplana,41.2285339418,1.0331163088
Sales de Llierca,42.2130734,2.641783
Cornudella de Montsant,41.264922841,0.9051755836
Vacarisses,41.6059007947,1.9187621126
Baix Pallars,42.3229847,1.0638361
Sant Quirze de Besora,42.1002709582,2.2227174287
Rasquera,41.001260005,0.5969208427
Sant Jaume d'Enveja,40.7207983,0.7233661
Òrrius,41.5550968427,2.3546007798
Figuera,41.2161988896,0.7316274195
Casserres,42.01434,1.84123
Llançà,42.3658715308,3.1544078836
Naut Aran,42.7072746103,0.9025361627
Vilanova d'Escornalbou,41.112935262,0.9368169368
Martorelles,41.52562682,2.2433181598
Banyoles,42.1164296376,2.7637219681
Avellanes i Santa Linya,41.9366402,0.810357
Nalec,41.5616775053,1.1162760553
Mediona,41.4768389735,1.6112963479
Corbera de Llobregat,41.4162808745,1.9277799384
Tarrés,41.4247531654,1.0212157636
Sant Pere Pescador,42.1879764532,3.0819124082
Molló,42.3464665604,2.4044328899
Viladamat,42.1339234129,3.0742167852
Tarragona,41.1172559896,1.2542965049
Biure,42.33775,2.8955
Mieres,42.12324,2.6402899
Montseny,41.7593074609,2.395176902
Bràfim,41.2687303158,1.3410930492
Savallà del Comtat,41.56486,1.27241
Bellver de Cerdanya,42.3707148711,1.7744645001
Sant Jaume de Llierca,42.2127411929,2.6072091721
Sant Vicenç de Castellet,41.6656898982,1.8639380284
Sant Joan les Fonts,42.2124024239,2.5113657203
Far d'Empordà,42.2511183661,2.9963349913
Isona i Conca Dellà,42.1169552497,1.0439251638
Benifallet,40.9740523384,0.5179239062
Navès,41.9928394378,1.6405519849
Sarrià de Ter,42.0122333,2.8254593
Garrigàs,42.1934728645,2.9541949816
Montgat,41.4665600392,2.279053775
Torroella de Montgrí,42.0411281258,3.126232588
Perafita,42.0414439783,2.106953584
Santa Coloma de Gramenet,41.4515624579,2.2083296891
Camarasa,41.86724,0.84014
Bellmunt d'Urgell,41.7743531483,0.9525171369
Santa Perpètua de Mogoda,41.5345387988,2.1834393611
Corbins,41.6906013782,0.6930110929
Farrera,42.5036211281,1.2734613182
Marganell,41.6401471496,1.7930318344
Lloret de Mar,41.6986163271,2.8476523498
Ivars d'Urgell,41.6820571479,0.9864863415
Pont de Bar,42.3720357,1.605217
Sant Martí d'Albars,42.038931,2.0760046
Santa Susanna,41.6354582531,2.7075055022
Santa Margarida de Montbui,41.5756779759,1.6091539758
Sort,42.413097675,1.1314717222
Argençola,41.597963,1.443127
Sant Ferriol,42.1938625912,2.7127634566
Calaf,41.7341009,1.5107242
Blanes,41.6741028672,2.792166135
Bellvei,41.2413176007,1.5765996715
Balenyà,41.8127978974,2.2345303415
Altafulla,41.1423267537,1.3768219607
Franqueses del Vallès,41.6363250462,2.297289907
Sant Pere de Riudebitlles,41.4535458441,1.7017963431
Campllong,41.8929484927,2.8311846556
Sant Ramon,41.7493130014,1.3671069916
Esterri de Cardós,42.5940645223,1.2631258499
Torre de Cabdella,42.4237823196,0.983405486
Torrelavit,41.4463770584,1.7299751118
Sabadell,41.5463059368,2.10845212
Alamús,41.6159189783,0.7388063189
Garriguella,42.3445893146,3.0645506465
Sils,41.8093345127,2.743659326
Alòs de Balaguer,41.9124326,0.9610936
Ripoll,42.2009986365,2.1907918334
Fulleda,41.4635823481,1.0241401942
Agramunt,41.7870354,1.0988124
Castelldans,41.4964501052,0.7650580744
Montferrer i Castellbò,42.3465428561,1.4241337623
Torrent,41.9518941482,3.1280287412
Argentera,41.137537579,0.9095180955
Arboç,41.2677513152,1.6037573558
Torrefarrera,41.6731939265,0.6069297595
Castellcir,41.7604477078,2.1498401824
Santa Maria de Merlès,42.0010156639,1.9780377215
Albesa,41.7508366134,0.6596689503
Santa Oliva,41.2554387018,1.5518133557
Artesa de Lleida,41.5517477575,0.7032034197
